outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
1,0.15000000000000002,0.7000000000000001,0.1499999999999999,368,0.5760869565217391,0.5710749539650436,0.676776984318348,176,109,0.6193181818181818,0.5457578896955103,43,28,0.6511627906976745,0.501715070970981,2.7038026542096256,2,0.025641025641025605,0.3552248097226855,3.00774541265026,False,True
1,0.15000000000000002,0.75,0.09999999999999998,368,0.5733695652173914,0.571829625381109,0.6767935049129714,161,99,0.6149068322981367,0.5378941451075946,30,22,0.7333333333333333,0.5555169795568831,2.9108261630103436,2,0.009615384615384637,0.30063605244263664,3.192231446222211,False,False
1,0.2,0.05,0.75,368,0.5543478260869565,0.5603586198569144,0.7138694030063614,297,165,0.5555555555555556,0.49869038300290175,222,125,0.5630630630630631,0.49729073522633205,2.624056594481423,2,0.00336932694649672,0.46598353421662536,3.083301474805055,False,False
1,0.2,0.1,0.7000000000000001,368,0.5597826086956522,0.5608717964198389,0.7075455893723984,288,161,0.5590277777777778,0.5012809134769127,214,121,0.5654205607476636,0.49842947037722135,2.6337077377764,2,0.0018356643356643443,0.4703613379728413,3.100397747077913,False,False
1,0.2,0.15000000000000002,0.65,368,0.5489130434782609,0.5615660941226189,0.7019581439278157,282,158,0.5602836879432624,0.5019259701385718,202,117,0.5792079207920792,0.5102699079349308,2.6808664100251693,2,0.002354788069073799,0.4808963374391583,3.1570531713261802,False,False
1,0.2,0.2,0.6000000000000001,368,0.5461956521739131,0.5620188969722583,0.6970402873441597,276,156,0.5652173913043478,0.5062329068180309,196,114,0.5816326530612245,0.5116516622148126,2.69127629773491,2,0.007608129233976024,0.47684837141099295,3.152908410677951,False,False
1,0.2,0.25,0.55,368,0.5543478260869565,0.5628641289582516,0.6927388559000995,273,156,0.5714285714285714,0.5121337406210109,185,106,0.572972972972973,0.5009220625233591,2.657003023439294,2,0.009293897591769962,0.46302723174527716,3.101442460001031,False,False
1,0.2,0.30000000000000004,0.5,368,0.5516304347826086,0.5631961843813205,0.6890109843594028,261,150,0.5747126436781609,0.5140762098005346,162,94,0.5802469135802469,0.5032524708844628,2.668568838737423,2,0.010370596309287772,0.4597200056030372,3.1075476517218847,False,False
1,0.2,0.35000000000000003,0.45,368,0.5625,0.5637395478008875,0.6858218393480225,261,151,0.578544061302682,0.5179225672156552,145,87,0.6,0.5186721991701244,2.7370688603668145,2,0.005519604111153376,0.4807563154549811,3.206785967599489,False,False
1,0.2,0.4,0.4,368,0.5625,0.5652187037763758,0.6831430205161066,251,145,0.5776892430278885,0.5158633314330933,136,82,0.6029411764705882,0.5189673559831905,2.737169762395547,2,0.008868699978369032,0.4763567368169741,3.1957890992557827,False,False
